Mainfile,Formula,Entry_id
AminoAcids/met/Dipeptide/Mg/conf_0013/FHIaims.out,C8H16MgN2O2S,-GvUR4Azo_Tl8iI1pzs8mrskUC2_
AminoAcids/argH/Dipeptide/bare/conf_0923/FHIaims.out,C9H20N5O2,-HF1jFt-kn9iSiSw1SEW666Nvrdp
AminoAcids/argH/Dipeptide/bare/conf_0715/FHIaims.out,C9H20N5O2,-HRQTblkIClkCIl_dzskE8xruliX
AminoAcids/arg/Dipeptide/bare/conf_3972/FHIaims.out,C9H19N5O2,-HSORp-lAUGwwZ97aj9QtczkPYKb
AminoAcids/lysH/Dipeptide/bare/conf_0338/FHIaims.out,C9H20N3O2,-HhuqeyOoYZ-xRvAtyXj09UUr2Cz
AminoAcids/lysH/Dipeptide/Ba/conf_0081/FHIaims.out,BaC9H20N3O2,-HieUufJrlipOWPrRE2grRyypxO6
AminoAcids/lysH/Dipeptide/Mg/conf_0522/FHIaims.out,C9H20MgN3O2,-IAgHiwglwpUitQEabqjU5OEzAD8
AminoAcids/arg/Dipeptide/bare/conf_1381/FHIaims.out,C9H19N5O2,-ITMJvfYDddwNnVboIWUtC_47fjJ
AminoAcids/arg/Dipeptide/bare/conf_1688/FHIaims.out,C9H19N5O2,-IVaa7khlqzrYUYZRQ6KUxLuHvug
AminoAcids/gluH/Dipeptide/bare/conf_0416/FHIaims.out,C8H14N2O4,-IcvBWpAGivdVHW1nt5-_qZl-a-3
AminoAcids/arg/Dipeptide/bare/conf_3922/FHIaims.out,C9H19N5O2,-IqcSgCd7Fu6r41MFbhe0qtV1sQr
AminoAcids/arg/Dipeptide/bare/conf_2641/FHIaims.out,C9H19N5O2,-IvJuw5v7N3N2LYLNrOqNDx3ZGLG
AminoAcids/arg/Dipeptide/bare/conf_0049/FHIaims.out,C9H19N5O2,-IwgaSYW_s5AO9ewUPSMKO-avota
AminoAcids/thr/Dipeptide/bare/conf_0051/FHIaims.out,C7H14N2O3,-JE-D1XwMfmqnAbiAC3mbSN86tuw
AminoAcids/met/Dipeptide/bare/conf_0098/FHIaims.out,C8H16N2O2S,-JSlR_MsxvGdR8fOyFY2GPdP8bCi
AminoAcids/met/Dipeptide/bare/conf_0001/FHIaims.out,C8H16N2O2S,-JTg_3sqeKecDGUzzMqrFGTJszXw
